id,circ_mv,up_limit
601399.SH,1054840.5948,3.69
601456.SH,1034467.1324,11.51
601500.SH,497036.484,4.26
601512.SH,1482402.21,10.88
601515.SH,812745.6308,4.85
601518.SH,488843.0338,3.98
601519.SH,1595077.0176,8.76
601528.SH,455216.4251,6.35
601566.SH,648190.7052,12.41
601567.SH,1855229.3929,14.72
601568.SH,1425636.1784,6.16
601577.SH,1697504.9176,9.03
601579.SH,559533.7983,12.84
601588.SH,555940.0,2.3
601595.SH,1559287.8,38.27
601599.SH,326737.3368,4.03
601606.SH,958154.1732,14.55
601609.SH,1004239.9845,7.54
601611.SH,2469415.7225,10.32
601616.SH,307804.175,3.62
601619.SH,1122377.2285,5.16
601636.SH,2468820.4637,10.12
601665.SH,1004408.8068,4.76
601666.SH,2273595.7594,10.9
601677.SH,1298584.7648,14.73
601678.SH,1031076.1743,5.51
601686.SH,387822.798,7.58
601700.SH,591683.7906,5.7
601702.SH,343521.48,13.6
601717.SH,2124652.3693,15.43
601777.SH,814662.9,3.98
601778.SH,971507.838,5.24
601789.SH,537965.3021,5.45
601798.SH,255969.359,7.94
601801.SH,1838025.177,10.16
601811.SH,1366034.2275,18.98
601827.SH,646190.728,8.89
601828.SH,1868152.1192,5.69
601869.SH,1357169.9688,36.74
601882.SH,1555560.0,32.78
601886.SH,914332.6624,8.88
601890.SH,975709.8,11.19
601900.SH,1827588.1946,22.44
601908.SH,1497053.7738,6.82
601918.SH,1121704.5994,4.76
601921.SH,409555.3031,10.67
601929.SH,765900.5161,2.55
601952.SH,1645332.0,13.13
601956.SH,178789.0364,6.18
601963.SH,564184.0875,8.98
601968.SH,604628.4666,7.35
601969.SH,1403060.9999,7.63
601975.SH,1572301.9668,3.56
601992.SH,2025200.4582,2.67
601996.SH,290988.1912,2.79
601999.SH,430815.2954,8.6
603002.SH,306591.4383,5.49
603003.SH,345296.5179,9.44
603005.SH,1454342.9044,24.53
603006.SH,185919.075,10.7
603008.SH,978617.33,27.79
603009.SH,218950.6036,7.12
603010.SH,552725.5529,12.53
603011.SH,319391.7263,7.11
603012.SH,375570.4,6.49
603013.SH,785406.72,16.9
603015.SH,329034.266,8.95
603016.SH,371437.12,27.58
603017.SH,296598.7114,11.83
603018.SH,726122.3539,11.95
603020.SH,361009.9831,10.36
603021.SH,174691.6462,6.01
603022.SH,183600.0,10.1
603023.SH,214714.4863,4.2
603025.SH,1325588.8478,15.8
603026.SH,1309718.16,71.08
603027.SH,2341709.7754,26.87
603028.SH,342438.72,13.12
603029.SH,230792.484,20.92
603031.SH,507360.0,49.83
603032.SH,976173.54,65.9
603033.SH,1445825.457,20.5
603035.SH,691276.2671,20.01
603036.SH,206624.0431,11.03
603037.SH,171828.4113,18.02
603038.SH,171333.3238,9.12
603039.SH,1923250.6787,81.18
603040.SH,292766.2032,24.04
603041.SH,213000.7658,12.79
603042.SH,201540.2492,13.81
603043.SH,1643178.8556,31.78
603045.SH,196108.5,15.68
603048.SH,56580.0,16.5
603050.SH,351995.917,23.87
603051.SH,207110.2924,46.55
603052.SH,66099.6,42.27
603053.SH,881778.88,10.91
603055.SH,858324.8403,10.64
603056.SH,1482240.0,16.98
603057.SH,110208.0,28.86
603058.SH,496618.382,13.15
603059.SH,207405.7645,22.8
603060.SH,863749.4055,13.02
603061.SH,171495.0,125.76
603065.SH,61634.9,16.18
603066.SH,328668.2697,12.02
603067.SH,593792.824,12.99
603068.SH,424198.4041,31.02
603069.SH,645588.0,22.47
603070.SH,129575.3657,17.58
603071.SH,421177.4621,19.49
603073.SH,52751.0,20.01
603076.SH,500669.1749,45.63
603077.SH,2366775.0611,2.95
603078.SH,566340.1786,24.45
603079.SH,213815.0085,13.74
603080.SH,198807.5,15.46
603081.SH,569588.5519,15.51
603085.SH,342088.301,10.16
603086.SH,316726.9683,11.26
603087.SH,1091265.4178,40.44
603088.SH,332590.3616,8.5
603089.SH,182673.3235,9.03
603090.SH,202800.0,22.31
603093.SH,670462.4164,12.09
603095.SH,289476.0,24.12
603096.SH,396996.2582,26.87
603097.SH,76160.0,20.94
603098.SH,1229541.5498,25.1
603099.SH,242936.37,10.02
603100.SH,1515884.22,42.64
603101.SH,271891.2,6.36
603102.SH,133160.8449,48.36
603103.SH,1122534.0,19.47
603105.SH,696000.0,15.31
603106.SH,286806.52,6.06
603108.SH,739499.0704,14.04
603109.SH,339038.2457,18.02
603110.SH,487371.1449,26.64
603111.SH,397928.027,5.24
603112.SH,168898.504,11.74
603113.SH,765303.0216,9.85
603115.SH,341816.8,15.72
603116.SH,353787.2912,6.75
603118.SH,679326.6456,9.53
603121.SH,269472.8371,8.76
603122.SH,164964.6829,10.13
603123.SH,673801.0553,11.36
603125.SH,139446.5716,32.52
603126.SH,521367.0,9.39
603127.SH,2174758.8237,53.12
603128.SH,1339580.6193,11.25
603129.SH,1943867.786,142.12
603130.SH,75950.0,23.87
603131.SH,372678.3626,12.89
603132.SH,193914.0,13.37
603135.SH,174156.0826,21.95
603136.SH,483247.3701,28.53
603137.SH,60275.3139,20.71
603138.SH,579944.1809,22.68
603139.SH,161705.72,17.81
603150.SH,108989.596,28.94
603151.SH,75600.0,19.8
603153.SH,117040.0,23.41
603155.SH,143739.3845,28.04
603158.SH,342087.1163,7.67
603159.SH,185360.0,14.56
603160.SH,2283553.801,54.85
603161.SH,188627.6,15.55
603162.SH,109876.7519,29.28
603163.SH,78420.0,43.13
603165.SH,379501.8292,14.99
603166.SH,397418.3204,6.77
603167.SH,348105.2212,8.16
603168.SH,264848.4417,9.03
603169.SH,949674.1371,8.0
603170.SH,93503.37,25.71
603171.SH,383786.1991,46.65
603172.SH,62409.9073,0.0
603176.SH,103795.3871,7.61
603177.SH,268054.0,14.6
603178.SH,212873.8837,10.16
603179.SH,1886345.9297,42.58
603180.SH,513058.3895,36.59
603181.SH,644037.8,12.03
603182.SH,63108.76,16.87
603183.SH,245766.5205,5.5
603186.SH,386374.6417,29.95
603189.SH,388688.7193,15.86
603190.SH,81840.0,30.01
603191.SH,339110.7723,20.31
603192.SH,254453.3339,20.19
603199.SH,325509.88,32.35
603200.SH,341302.802,21.54
603201.SH,59600.1287,32.99
603203.SH,722271.733,32.18
603206.SH,141874.3805,17.9
603208.SH,736194.4598,59.29
603209.SH,320528.0,33.9
603211.SH,89153.024,14.43
603212.SH,901230.7102,22.66
603213.SH,206583.7894,14.59
603214.SH,253633.0695,19.86
603215.SH,118450.2362,18.49
603216.SH,75234.24,14.95
603217.SH,517185.4048,27.67
603218.SH,2090001.0722,23.76
603221.SH,179760.0,8.24
603222.SH,544303.6156,12.55
603225.SH,1604413.8611,11.54
603226.SH,183078.2616,5.67
603227.SH,660676.1,11.03
603229.SH,911433.6847,24.95
603230.SH,126770.618,15.6
603232.SH,335584.6632,15.84
603235.SH,123196.92,30.95
603236.SH,1386939.4558,80.73
603237.SH,113814.4043,49.71
603238.SH,207863.039,12.88
603239.SH,391190.4,15.9
603255.SH,145778.9681,48.06
603256.SH,624993.6,7.83
603258.SH,1070126.1332,48.09
603261.SH,83855.2715,35.82
603266.SH,250597.305,13.86
603267.SH,1527398.8128,72.47
603268.SH,202395.144,17.93
603269.SH,165065.1764,16.14
603272.SH,41839.4013,17.77
603277.SH,838558.575,22.28
603278.SH,243897.9312,9.31
603279.SH,1498308.251,29.15
603280.SH,62469.3424,25.36
603281.SH,311600.0016,51.41
603282.SH,110047.5,36.14
603283.SH,863173.078,52.25
603286.SH,138015.092,17.24
603289.SH,262798.2668,10.88
603291.SH,57134.7824,14.85
603297.SH,888553.56,88.88
603298.SH,1860868.6896,21.88
603299.SH,765498.1558,10.93
603300.SH,1007248.2661,8.77
603303.SH,683461.576,15.76
603305.SH,2230383.6899,26.29
603306.SH,985344.7431,33.81
603307.SH,80952.75,53.16
603308.SH,1208486.9032,19.46
603309.SH,520940.5102,19.69
603311.SH,246960.0,12.94
603313.SH,478504.8525,10.85
603315.SH,403125.4846,14.44
603316.SH,154330.176,6.42
603317.SH,1736379.4285,18.13
603318.SH,299006.8236,8.7
603319.SH,304463.1052,16.18
603320.SH,165517.0029,14.0
603321.SH,214286.0,7.68
603322.SH,534155.235,37.74
603324.SH,160743.6392,39.84
603326.SH,245784.3777,8.57
603327.SH,754842.4,15.93
603328.SH,730859.9913,8.05
603330.SH,366108.4724,12.1
603331.SH,272222.9586,14.85
603332.SH,176837.0184,11.68
603333.SH,361729.0551,6.4
603335.SH,225204.0596,5.79
603336.SH,281665.017,7.06
603337.SH,923012.6732,21.08
603338.SH,2425912.6883,52.7
603339.SH,474682.7625,16.87
603348.SH,1022753.2644,43.08
603351.SH,348450.2307,28.91
603353.SH,286273.494,18.16
603355.SH,1365756.3732,26.52
603358.SH,843395.84,21.13
603360.SH,371633.772,16.01
